"Date","Confirmed","All_tests","Negative","test_increase","Fatalities"
2020-04-06,51608,208837,,,5373
2020-04-05,47806,195524,,"",4934
2020-04-04,41903,183190,,"",4313
2020-04-03,38169,173784,,"",3605
2020-04-02,33718,163194,,"",2921
2020-04-01,29474,152979,,"",2352
2020-03-31,25150,143186,,"",1789
2020-03-30,22141,134946,112805,"",1408
2020-03-29,19522,127737,108215,"",1228
2020-03-28,17089,120776,103687,"",1019
2020-03-27,14543,113777,99198,"",759
2020-03-26,11658,104866,93208,"",578
2020-03-25,9529,97019,87490,"",463
2020-03-24,8077,90436,82359,"6491",422
2020-03-23,6650,83945,77295,"5605",335
2020-03-22,5683,78340,72657,"5522",281
2020-03-21,5018,72818,67800,"5842",233
2020-03-20,3983,66976,62993,"2355",177
2020-03-19,3269,64621,61352,"8400",144
2020-03-18,2626,56221,53595,"5779",103
2020-03-17,1950,50442,48492,"6337",71
2020-03-16,1543,44105,42562,"3826",55
2020-03-15,1372,40279,38907,"2533",35
2020-03-14,1140,37746,36606,"4975",21
2020-03-13,798,32771,31973,"3007",10
2020-03-12,590,29764,29174,"2288",10
2020-03-11,456,27476,27020,"1215",8
2020-03-10,373,26261,25888,"1301",6
2020-03-09,319,24960,24641,"1447",5
2020-03-08,273,23513,23240,"2053",3
2020-03-07,206,21460,21254,"1122",2
2020-03-06,163,20338,20175,"2255",1
2020-03-05,115,18083,17968,"1424",1
2020-03-04,85,16659,16574,"2748",0
2020-03-03,51,13911,13860,"386",0
2020-03-02,40,13525,13485,"1775",0
2020-03-01,35,11750,11715,"1290",0
2020-02-29,23,10460,10437,"1474",0
2020-02-28,20,8986,8966,"1296",0
2020-02-27,15,7690,7675,"558",0
2020-02-26,13,7132,7119,"337",0
2020-02-25,13,6795,6782,"259",0
2020-02-24,9,6536,6527,"212",0
2020-02-23,9,6324,6315,"172",0
2020-02-22,9,6152,6143,"267",0
2020-02-21,9,5885,5876,"336",0
2020-02-20,9,5549,5540,"333",0
2020-02-19,9,5216,5207,"300",0
2020-02-18,9,4916,4907,"415",0
2020-02-17,9,4501,4492,"1392",0
2020-02-16,9,3109,3100,"117",0
2020-02-15,9,2992,2983,"28",0
2020-02-14,9,2964,2955,"443",0
2020-02-13,9,2521,2512,"763",0
2020-02-12,8,1758,1750,"400",0
2020-02-11,8,1358,1350,"244",0
2020-02-10,8,1114,1106,"319",0
2020-02-09,4,795,791,"109",0
2020-02-08,3,686,683,"66",0
2020-02-07,3,620,617,"54",0
2020-02-06,3,566,563,"98",0
2020-02-05,2,468,466,"52",0
2020-02-04,2,416,414,"90",0
2020-02-03,2,326,324,"60",0
2020-02-02,2,266,264,"63",0
2020-02-01,2,203,201,"26",0
2020-01-31,2,177,175,"16",0
2020-01-30,0,161,161,"-",0
