"Date","Confirmed","Pos_today","All_tests","Negative","X","Fatalities","test_increase"
2020-06-02,277985,1613,4615146,0,0,0,0
2020-06-01,276332,1570,4484340,0,0,39369,135643
2020-05-31,274762,1936,4285738,0,0,39045,128437
2020-05-30,272826,0,4171408,0,0,38489,115725
2020-05-29,271222,0,4043686,0,0,38376,127722
2020-05-28,269127,0,3918079,0,0,38161,131458
2020-05-27,267240,0,3798490,0,0,37837,117195
2020-05-26,265227,0,3681295,0,0,37460,148661
2020-05-25,261184,0,3532634,0,0,37048,73729
2020-05-24,259559,0,3458905,0,0,36914,110398
2020-05-23,257154,0,2801765,0,0,36793,95347
2020-05-22,254195,0,2144626,0,0,36675,80297
2020-05-21,250908,0,2064329,0,0,36393,67681
2020-05-20,248293,0,1996648,0,0,36042,60744
2020-05-18,246406,0,1887051,0,0,35341,68339
2020-05-17,243695,0,1818712,0,0,34796,76684
2020-05-16,240161,0,1742028,0,0,34636,78537
2020-05-15,236711,0,1663492,0,0,34466,69590
2020-05-14,233151,0,1593902,0,0,33998,71644
2020-05-13,229705,0,1522258,0,0,33614,61741
2020-05-12,226463,0,1460517,0,0,33186,60410
2020-05-11,223060,0,1400107,0,0,32692,65337
2020-05-10,219183,0,1334770,0,0,32065,64362
2020-05-09,215260,0,1270408,0,0,31855,63339
2020-05-08,211364,0,1207069,0,0,31587,67443
2020-05-07,206715,0,1139626,0,0,31241,65092
2020-05-06,201101,0,1072144,0,0,30615,57006
2020-05-05,194990,0,1015138,0,0,30076,69839
2020-05-04,190584,0,945299,0,0,28743,62956
2020-05-03,186599,0,882343,0,0,28446,56397
2020-05-02,182260,0,825946,0,0,28131,63667
2020-05-01,177454,0,762279,0,0,27510,73191
2020-04-30,171253,0,687369,0,0,26771,54575
2020-04-29,165221,0,632794,0,0,26097,33455
2020-04-28,161145,0,599339,0,0,21678,29571
2020-04-27,157149,0,569768,0,0,21092,26355
2020-04-26,152840,0,543413,0,0,20732,25577
2020-04-25,148377,0,517836,0,0,20319,23115
2020-04-24,143464,0,444222,0,0,19506,18401
2020-04-23,138078,0,425821,0,0,18738,14629
2020-04-22,133495,0,411192,0,0,18100,13522
2020-04-21,129044,0,397670,0,0,17337,11626
2020-04-20,124743,0,386044,0,0,16509,14106
2020-04-19,120067,0,372967,0,0,16060,15944
2020-04-18,114217,0,357023,0,0,15464,15472
2020-04-17,108692,0,341551,0,0,14576,21328
2020-04-16,103093,0,327608,0,0,13729,18665
2020-04-15,98476,0,313769,0,0,12868,15995
2020-04-14,93873,0,302599,0,0,12107,11879
2020-04-13,88621,0,290720,0,0,11329,8346
2020-04-12,84279,0,282374,0,0,10612,14506
2020-04-11,78991,0,269598,0,0,9875,18000
2020-04-10,73758,0,256605,0,0,8958,18091
2020-04-09,65077,0,243421,0,0,7978,19116
2020-04-08,60773,0,232708,0,0,7097,16095
2020-04-07,55242,0,213181,0,0,6159,14682
2020-04-06,51608,0,208837,0,0,5373,14006
2020-04-05,47806,0,195524,0,0,4934,13069
2020-04-04,41903,0,183190,0,0,4313,9406
2020-04-03,38169,0,173784,0,0,3605,10590
2020-04-02,33718,0,163194,0,0,2921,10215
2020-04-01,29474,0,152979,0,0,2352,9793
2020-03-31,25150,0,143186,0,0,1789,8240
2020-03-30,22141,0,134946,112805,0,1408,7209
2020-03-29,19522,0,127737,108215,0,1228,6961
2020-03-28,17089,0,120776,103687,0,1019,6999
2020-03-27,14543,0,113777,99198,0,759,8911
2020-03-26,11658,0,104866,93208,0,578,7847
2020-03-25,9529,0,97019,87490,0,463,6583
2020-03-24,8077,0,90436,82359,6491,422,6491
2020-03-23,6650,0,83945,77295,5605,335,5605
2020-03-22,5683,0,78340,72657,5522,281,5522
2020-03-21,5018,0,72818,67800,5842,233,5842
2020-03-20,3983,0,66976,62993,2355,177,2355
2020-03-19,3269,0,64621,61352,8400,144,8400
2020-03-18,2626,0,56221,53595,5779,103,5779
2020-03-17,1950,0,50442,48492,6337,71,6337
2020-03-16,1543,0,44105,42562,3826,55,3826
2020-03-15,1372,0,40279,38907,2533,35,2533
2020-03-14,1140,0,37746,36606,4975,21,4975
2020-03-13,798,0,32771,31973,3007,10,3007
2020-03-12,590,0,29764,29174,2288,10,2288
2020-03-11,456,0,27476,27020,1215,8,1215
2020-03-10,373,0,26261,25888,1301,6,1301
2020-03-09,319,0,24960,24641,1447,5,1447
2020-03-08,273,0,23513,23240,2053,3,2053
2020-03-07,206,0,21460,21254,1122,2,1122
2020-03-06,163,0,20338,20175,2255,1,2255
2020-03-05,115,0,18083,17968,1424,1,1424
2020-03-04,85,0,16659,16574,2748,0,2748
2020-03-03,51,0,13911,13860,386,0,386
2020-03-02,40,0,13525,13485,1775,0,1775
2020-03-01,35,0,11750,11715,1290,0,1290
2020-02-29,23,0,10460,10437,1474,0,1474
2020-02-28,20,0,8986,8966,1296,0,1296
2020-02-27,15,0,7690,7675,558,0,558
2020-02-26,13,0,7132,7119,337,0,337
2020-02-25,13,0,6795,6782,259,0,259
2020-02-24,9,0,6536,6527,212,0,212
2020-02-23,9,0,6324,6315,172,0,172
2020-02-22,9,0,6152,6143,267,0,267
2020-02-21,9,0,5885,5876,336,0,336
2020-02-20,9,0,5549,5540,333,0,333
2020-02-19,9,0,5216,5207,300,0,300
2020-02-18,9,0,4916,4907,415,0,415
2020-02-17,9,0,4501,4492,1392,0,1392
2020-02-16,9,0,3109,3100,117,0,117
2020-02-15,9,0,2992,2983,28,0,28
2020-02-14,9,0,2964,2955,443,0,443
2020-02-13,9,0,2521,2512,763,0,763
2020-02-12,8,0,1758,1750,400,0,400
2020-02-11,8,0,1358,1350,244,0,244
2020-02-10,8,0,1114,1106,319,0,319
2020-02-09,4,0,795,791,109,0,109
2020-02-08,3,0,686,683,66,0,66
2020-02-07,3,0,620,617,54,0,54
2020-02-06,3,0,566,563,98,0,98
2020-02-05,2,0,468,466,52,0,52
2020-02-04,2,0,416,414,90,0,90
2020-02-03,2,0,326,324,60,0,60
2020-02-02,2,0,266,264,63,0,63
2020-02-01,2,0,203,201,26,0,26
2020-01-31,2,0,177,175,16,0,16
2020-01-30,0,0,161,161,0,0,0
